u,v,geometry,speed_mps,weigth
309313457,9388283663,"LINESTRING (-75.524411 6.1599796, -75.5242785 6.1599542, -75.5236972 6.1600379, -75.5236261 6.1600769)",8.6,10.077
309313457,309313461,"LINESTRING (-75.524411 6.1599796, -75.5284203 6.159434, -75.5290518 6.1593463)",9.4,53.476
309313461,5001821095,"LINESTRING (-75.5290518 6.1593463, -75.5297069 6.1593051, -75.5302525 6.1592899)",14.7,8.808
309313461,309313457,"LINESTRING (-75.5290518 6.1593463, -75.5284203 6.159434, -75.524411 6.1599796)",8.6,58.651
309313472,3746160667,"LINESTRING (-75.5311273 6.154794, -75.530928 6.154894)",5.0,5.0
309313472,3746160666,"LINESTRING (-75.5311273 6.154794, -75.5311131 6.1548834, -75.5311077 6.1549661)",3.9,4.886
309313473,440764629,"LINESTRING (-75.5312969 6.1544541, -75.5310928 6.1544285, -75.5310721 6.1543903, -75.5310967 6.1542914, -75.5311656 6.1540674)",3.6,18.0
309313473,309313472,"LINESTRING (-75.5312969 6.1544541, -75.531203 6.1546194, -75.5311273 6.154794)",5.8,7.2
322009433,9413105669,"LINESTRING (-75.5829397 6.1854849, -75.5830066 6.185569)",7.486206896551724,282.233
322009433,9413105668,"LINESTRING (-75.5829397 6.1854849, -75.5829103 6.1855128, -75.582868 6.1855529)",8.2,1.642
327431040,3573194298,"LINESTRING (-75.5794476 6.183695, -75.5795058 6.1837727)",5.8,2.31
327431061,1673517680,"LINESTRING (-75.5812534 6.1814714, -75.581271 6.181543)",6.7,1.47
327431061,10313189026,"LINESTRING (-75.5812534 6.1814714, -75.5811775 6.1814993, -75.5811267 6.1815169, -75.5810728 6.1815352)",5.599999999999999,4.631
327431066,327431061,"LINESTRING (-75.581745 6.1814103, -75.5816197 6.1814174, -75.5814664 6.181429, -75.5813625 6.1814431, -75.5812534 6.1814714)",5.625,12.684
327431066,9397770797,"LINESTRING (-75.581745 6.1814103, -75.5817348 6.1813732, -75.5817113 6.1813149)",8.3,2.617
327431090,9395455239,"LINESTRING (-75.5853743 6.1767143, -75.5854677 6.1764741)",6.4,5.56
327431090,9400481964,"LINESTRING (-75.5853743 6.1767143, -75.5854095 6.176736, -75.5854356 6.1767521, -75.5855007 6.1767757)",3.6,7.428
327431094,327431097,"LINESTRING (-75.585535 6.1763194, -75.5858828 6.1755092)",4.7,25.422
327431097,6927544124,"LINESTRING (-75.5858828 6.1755092, -75.5858925 6.1754781, -75.5860254 6.1751165, -75.5860551 6.1750345)",6.466666666666666,11.445
327431102,5919405587,"LINESTRING (-75.5867635 6.1733128, -75.586869 6.1733755)",3.6,4.749
327431102,5927555380,"LINESTRING (-75.5867635 6.1733128, -75.5867113 6.1733867, -75.5864933 6.1736947, -75.5864377 6.1737965, -75.5863655 6.1739577, -75.5862527 6.174254, -75.5860107 6.1748608, -75.585955 6.1749963)",6.228571428571429,42.949
327431106,330762677,"LINESTRING (-75.5895573 6.1690531, -75.5895058 6.1691373, -75.589373 6.1693542, -75.5891834 6.1696402, -75.5891287 6.1697234)",6.1,17.64
327431106,1419127555,"LINESTRING (-75.5895573 6.1690531, -75.589481 6.1690368, -75.5894664 6.1690337, -75.5893841 6.1689996, -75.5887704 6.1686126)",7.5,17.997
330631201,330634988,"LINESTRING (-75.5816135 6.1659054, -75.5815701 6.1658592, -75.5812441 6.1655161, -75.5812081 6.1654785)",4.2,21.008
330631201,1378816120,"LINESTRING (-75.5816135 6.1659054, -75.5816504 6.1658487, -75.5820338 6.1652602, -75.5820556 6.1652269)",6.099999999999999,21.476
330631935,330635000,"LINESTRING (-75.5886693 6.1704216, -75.5886271 6.1703963, -75.5882996 6.1701995, -75.5879484 6.1699886, -75.5879143 6.1699681, -75.5878865 6.1699501, -75.5876347 6.1697879, -75.587377 6.1696217, -75.5873415 6.1695989)",6.585714285714286,36.028
330631935,330634176,"LINESTRING (-75.5886693 6.1704216, -75.5886439 6.1704619, -75.58862 6.1705013, -75.5882662 6.1710758, -75.5882477 6.171116)",6.4,17.257
330632576,567758949,"LINESTRING (-75.5928089 6.1728712, -75.5927598 6.1729316, -75.5926434 6.1730756, -75.5926021 6.1731143, -75.5925458 6.1731528, -75.5924803 6.1731914)",8.6,7.397
330632576,1819429763,"LINESTRING (-75.5928089 6.1728712, -75.5927583 6.1728359, -75.5923202 6.1725306)",5.8,14.86
330634172,11935924667,"LINESTRING (-75.5942695 6.1747336, -75.594378 6.1748184, -75.5944247 6.1748738, -75.5944418 6.1748994, -75.5944576 6.1749231, -75.5946505 6.1753178, -75.5946738 6.1753857, -75.5946793 6.1754263, -75.5946847 6.1754659, -75.5946766 6.1755412, -75.5946685 6.1756165)",3.9,21.357
330634174,567902334,"LINESTRING (-75.5915318 6.1731291, -75.5919692 6.1733895)",7.2,9.498
330634175,3270683213,"LINESTRING (-75.589809 6.1721223, -75.5902587 6.1723887)",10.6,6.731
