u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,speed_kph,travel_time,bridge,width,junction,ref,access
309313457,9388283663,0,1299081178,True,1,Variante Las Palmas,secondary,60,False,88.83000000000001,"LINESTRING (-75.524411 6.1599796, -75.5242785 6.1599542, -75.5236972 6.1600379, -75.5236261 6.1600769)",60.0,5.3,,,,,
309313457,309313461,0,1299081179,False,2,Variante Las Palmas,secondary,60,False,517.865,"LINESTRING (-75.524411 6.1599796, -75.5284203 6.159434, -75.5290518 6.1593463)",60.0,31.1,,,,,
309313461,5001821095,0,1019190821,False,2,Variante Las Palmas,secondary,60,False,132.91,"LINESTRING (-75.5290518 6.1593463, -75.5297069 6.1593051, -75.5302525 6.1592899)",60.0,8.0,,,,,
309313461,309313457,0,1299081179,False,2,Variante Las Palmas,secondary,60,True,517.865,"LINESTRING (-75.5290518 6.1593463, -75.5284203 6.159434, -75.524411 6.1599796)",60.0,31.1,,,,,
309313472,3746160667,0,1019203332,True,,,unclassified,,False,24.68,"LINESTRING (-75.5311273 6.154794, -75.530928 6.154894)",30.0,3.0,,,,,
309313472,3746160666,0,1019203329,True,2,Variante Las Palmas,secondary,30,False,19.279,"LINESTRING (-75.5311273 6.154794, -75.5311131 6.1548834, -75.5311077 6.1549661)",30.0,2.3,,,,,
309313473,440764629,0,913244960,False,,,residential,,True,64.94200000000001,"LINESTRING (-75.5312969 6.1544541, -75.5310928 6.1544285, -75.5310721 6.1543903, -75.5310967 6.1542914, -75.5311656 6.1540674)",35.0,6.7,,,,,
309313473,309313472,0,1019203330,True,1,Variante Las Palmas,secondary,30,False,42.251000000000005,"LINESTRING (-75.5312969 6.1544541, -75.531203 6.1546194, -75.5311273 6.154794)",30.0,5.1,,,,,
322009433,9413105669,0,1020597916,True,1,,primary_link,,False,11.923,"LINESTRING (-75.5829397 6.1854849, -75.5830066 6.185569)",30.0,1.4,,,,,
322009433,9413105668,0,351476431,True,2,Avenida Carrera 48,primary,,False,10.954,"LINESTRING (-75.5829397 6.1854849, -75.5829103 6.1855128, -75.582868 6.1855529)",46.8,0.8,,,,,
327431040,3573194298,0,365557528,True,2,Calle 21 Sur,tertiary,30,False,10.772,"LINESTRING (-75.5794476 6.183695, -75.5795058 6.1837727)",30.0,1.3,,,,,
327431061,1673517680,0,442843364,True,2,Calle 25 Sur,secondary,,False,8.196,"LINESTRING (-75.5812534 6.1814714, -75.581271 6.181543)",50.0,0.6,,,,,
327431061,10313189026,0,343480137,True,1,Carrera 43A,primary,50,False,21.189,"LINESTRING (-75.5812534 6.1814714, -75.5811775 6.1814993, -75.5811267 6.1815169, -75.5810728 6.1815352)",50.0,1.5,,,,,
327431066,327431061,0,"[343480136, 442843370, 442843372]",True,2,Carrera 43A,primary,60,False,54.928,"LINESTRING (-75.581745 6.1814103, -75.5816197 6.1814174, -75.5814664 6.181429, -75.5813625 6.1814431, -75.5812534 6.1814714)",60.0,3.3,yes,,,,
327431066,9397770797,0,1018898973,True,2,Calle 25 Sur,secondary,,False,11.261,"LINESTRING (-75.581745 6.1814103, -75.5817348 6.1813732, -75.5817113 6.1813149)",50.0,0.8,,,,,
327431090,9395455239,0,112499867,True,2,Carrera 43A,primary,,False,28.635,"LINESTRING (-75.5853743 6.1767143, -75.5854677 6.1764741)",46.8,2.2,,,,,
327431090,9400481964,0,154891301,True,,Calle 31 Sur,residential,30,False,15.635,"LINESTRING (-75.5853743 6.1767143, -75.5854095 6.176736, -75.5854356 6.1767521, -75.5855007 6.1767757)",30.0,1.9,,,,,
327431094,327431097,0,112499867,True,2,Carrera 43A,primary,,False,97.952,"LINESTRING (-75.585535 6.1763194, -75.5858828 6.1755092)",46.8,7.5,,,,,
327431097,6927544124,0,"[1128023617, 627880708]",True,2,Carrera 43A,primary,,False,56.120000000000005,"LINESTRING (-75.5858828 6.1755092, -75.5858925 6.1754781, -75.5860254 6.1751165, -75.5860551 6.1750345)",46.8,4.3,,,,,
327431102,5919405587,0,388246107,True,2,Calle 33B Sur,tertiary,,False,13.588,"LINESTRING (-75.5867635 6.1733128, -75.586869 6.1733755)",60.0,0.8,,,,,
327431102,5927555380,0,30679356,True,3,Carrera 43A,primary,,False,208.50900000000001,"LINESTRING (-75.5867635 6.1733128, -75.5867113 6.1733867, -75.5864933 6.1736947, -75.5864377 6.1737965, -75.5863655 6.1739577, -75.5862527 6.174254, -75.5860107 6.1748608, -75.585955 6.1749963)",46.8,16.0,,,,,
327431106,330762677,0,"[1128023633, 627880709]",True,2,Carrera 43A,primary,30,False,88.333,"LINESTRING (-75.5895573 6.1690531, -75.5895058 6.1691373, -75.589373 6.1693542, -75.5891834 6.1696402, -75.5891287 6.1697234)",30.0,10.6,,,,,
327431106,1419127555,0,917581848,True,2,Calle 39 Sur,tertiary,30,False,100.477,"LINESTRING (-75.5895573 6.1690531, -75.589481 6.1690368, -75.5894664 6.1690337, -75.5893841 6.1689996, -75.5887704 6.1686126)",30.0,12.1,,,,,
330631201,330634988,0,577255132,True,3,Calle 38 Sur,secondary,30,False,65.283,"LINESTRING (-75.5816135 6.1659054, -75.5815701 6.1658592, -75.5812441 6.1655161, -75.5812081 6.1654785)",30.0,7.8,,6,,,
330631201,1378816120,0,1018851103,True,2,Carrera 32,residential,,False,89.893,"LINESTRING (-75.5816135 6.1659054, -75.5816504 6.1658487, -75.5820338 6.1652602, -75.5820556 6.1652269)",35.0,9.2,,,,,
330631935,330635000,0,576112578,True,3,Calle 38 Sur,secondary,,False,172.983,"LINESTRING (-75.5886693 6.1704216, -75.5886271 6.1703963, -75.5882996 6.1701995, -75.5879484 6.1699886, -75.5879143 6.1699681, -75.5878865 6.1699501, -75.5876347 6.1697879, -75.587377 6.1696217, -75.5873415 6.1695989)",50.0,12.5,,6,,,
330631935,330634176,0,"[1128023627, 627880707]",True,3,Carrera 43A,primary,,False,90.22399999999999,"LINESTRING (-75.5886693 6.1704216, -75.5886439 6.1704619, -75.58862 6.1705013, -75.5882662 6.1710758, -75.5882477 6.171116)",46.8,6.9,,,,,
330632576,567758949,0,575776798,True,2,Avenida Carrera 48,primary,,False,51.423,"LINESTRING (-75.5928089 6.1728712, -75.5927598 6.1729316, -75.5926434 6.1730756, -75.5926021 6.1731143, -75.5925458 6.1731528, -75.5924803 6.1731914)",46.8,4.0,,,,,
330632576,1819429763,0,1020099785,True,2,Calle 38 Sur,secondary,,False,65.979,"LINESTRING (-75.5928089 6.1728712, -75.5927583 6.1728359, -75.5923202 6.1725306)",50.0,4.8,,6,,,
