u,v,u_coords,v_coords,distance_m
309313457,9388283663,"(-75.524411, 6.1599796)","(-75.5236261, 6.1600769)",87.65534460919123
309313457,309313461,"(-75.524411, 6.1599796)","(-75.5290518, 6.1593463)",518.3237272645564
309313461,5001821095,"(-75.5290518, 6.1593463)","(-75.5302525, 6.1592899)",134.03559250669147
309313461,309313457,"(-75.5290518, 6.1593463)","(-75.524411, 6.1599796)",518.3237272645564
309313472,3746160667,"(-75.5311273, 6.154794)","(-75.530928, 6.154894)",22.420855630370035
309313472,3746160666,"(-75.5311273, 6.154794)","(-75.5311077, 6.1549661)",5.276744982187206
309313473,440764629,"(-75.5312969, 6.1544541)","(-75.5311656, 6.1540674)",18.199276782058302
309313473,309313472,"(-75.5312969, 6.1544541)","(-75.5311273, 6.154794)",21.173917208527968
322009433,9413105669,"(-75.5829397, 6.1854849)","(-75.5830066, 6.185569)",7.825169659610954
322009433,9413105668,"(-75.5829397, 6.1854849)","(-75.582868, 6.1855529)",8.22372387980233
327431040,3573194298,"(-75.5794476, 6.183695)","(-75.5795058, 6.1837727)",6.846456878983758
327431061,1673517680,"(-75.5812534, 6.1814714)","(-75.581271, 6.181543)",2.7970545700252436
327431061,10313189026,"(-75.5812534, 6.1814714)","(-75.5810728, 6.1815352)",20.237206857346255
327431066,327431061,"(-75.581745, 6.1814103)","(-75.5812534, 6.1814714)",54.900656195474305
327431066,9397770797,"(-75.581745, 6.1814103)","(-75.5817113, 6.1813149)",4.602967379361126
327431090,9395455239,"(-75.5853743, 6.1767143)","(-75.5854677, 6.1764741)",12.380676697242865
327431090,9400481964,"(-75.5853743, 6.1767143)","(-75.5855007, 6.1767757)",14.212146023941724
327431094,327431097,"(-75.585535, 6.1763194)","(-75.5858828, 6.1755092)",44.88277435858741
327431097,6927544124,"(-75.5858828, 6.1755092)","(-75.5860551, 6.1750345)",23.32437411222804
327431102,5919405587,"(-75.5867635, 6.1733128)","(-75.586869, 6.1733755)",11.90460317066344
327431102,5927555380,"(-75.5867635, 6.1733128)","(-75.585955, 6.1749963)",101.65931869510955
327431106,330762677,"(-75.5895573, 6.1690531)","(-75.5891287, 6.1697234)",51.34092602319899
327431106,1419127555,"(-75.5895573, 6.1690531)","(-75.5887704, 6.1686126)",88.68602115965189
330631201,330634988,"(-75.5816135, 6.1659054)","(-75.5812081, 6.1654785)",46.783412759167405
330631201,1378816120,"(-75.5816135, 6.1659054)","(-75.5820556, 6.1652269)",52.832304304549616
330631935,330635000,"(-75.5886693, 6.1704216)","(-75.5873415, 6.1695989)",149.96792867673702
330631935,330634176,"(-75.5886693, 6.1704216)","(-75.5882477, 6.171116)",50.864364734576775
330632576,567758949,"(-75.5928089, 6.1728712)","(-75.5924803, 6.1731914)",37.74324989096014
330632576,1819429763,"(-75.5928089, 6.1728712)","(-75.5923202, 6.1725306)",55.365522111670835
330634172,11935924667,"(-75.5942695, 6.1747336)","(-75.5946685, 6.1756165)",50.84571076213344
330634174,567902334,"(-75.5915318, 6.1731291)","(-75.5919692, 6.1733895)",49.357633921069954
330634175,3270683213,"(-75.589809, 6.1721223)","(-75.5902587, 6.1723887)",50.74034971509693
330634175,340690368,"(-75.589809, 6.1721223)","(-75.5894394, 6.1727497)",44.78944929590846
330634176,5919405591,"(-75.5882477, 6.171116)","(-75.5883341, 6.1711727)",9.77222247203138
330634176,340690125,"(-75.5882477, 6.171116)","(-75.5873966, 6.1724041)",101.52533123471675
330634179,340690672,"(-75.5869341, 6.1702423)","(-75.58651, 6.1709768)",51.554686328799626
330634179,330645156,"(-75.5869341, 6.1702423)","(-75.5875208, 6.1706279)",66.36107936985836
330634181,5534528338,"(-75.585504, 6.1693426)","(-75.5858919, 6.1695876)",43.83132280817829
330634181,1378864817,"(-75.585504, 6.1693426)","(-75.5859062, 6.1686848)",48.47625231813375
330634666,1378816147,"(-75.5848597, 6.1689187)","(-75.5843621, 6.1696649)",59.291572859716155
330634666,330634181,"(-75.5848597, 6.1689187)","(-75.585504, 6.1693426)",72.8784036515534
330634667,330634666,"(-75.5843211, 6.1685737)","(-75.5848597, 6.1689187)",60.88094567965784
330634667,330634995,"(-75.5843211, 6.1685737)","(-75.5847356, 6.1679271)",49.6374255165959
330634667,1378816119,"(-75.5843211, 6.1685737)","(-75.5838647, 6.1693415)",55.2364193112856
330634668,330634667,"(-75.5837718, 6.1682303)","(-75.5843211, 6.1685737)",62.0538862586056
330634668,1378816149,"(-75.5837718, 6.1682303)","(-75.5833311, 6.1689122)",52.71950277826041
330634669,330634668,"(-75.5832733, 6.1679132)","(-75.5837718, 6.1682303)",56.33865158740857
330634669,330634993,"(-75.5832733, 6.1679132)","(-75.5836693, 6.1672968)",47.40895723903801
330634987,5529679663,"(-75.580795, 6.1649477)","(-75.5807139, 6.1648859)",9.214379382944731
330634987,9389496829,"(-75.580795, 6.1649477)","(-75.5808396, 6.1648225)",6.0750035079425375
330634988,3572367369,"(-75.5812081, 6.1654785)","(-75.5809465, 6.1651504)",30.5929292567469
330634988,9775935287,"(-75.5812081, 6.1654785)","(-75.5808707, 6.1660083)",40.440823391376675
330634990,3924033388,"(-75.5821267, 6.1662462)","(-75.5819935, 6.166174)",15.003236271218446
330634990,9397383703,"(-75.5821267, 6.1662462)","(-75.5820915, 6.1663077)",4.28514801252428
330634991,9397383706,"(-75.5826611, 6.166558)","(-75.5825843, 6.1665246)",8.62287734632174
330634991,1378816118,"(-75.5826611, 6.166558)","(-75.5830811, 6.1658927)",50.39939278995714
330634992,9397383706,"(-75.5831526, 6.1669711)","(-75.5825843, 6.1665246)",64.63925606955178
330634992,1378853843,"(-75.5831526, 6.1669711)","(-75.5827095, 6.1675723)",52.20880881785314
330634993,5529679696,"(-75.5836693, 6.1672968)","(-75.5837118, 6.1672301)",5.093579199178847
330634993,330634992,"(-75.5836693, 6.1672968)","(-75.5831526, 6.1669711)",58.38266383353963
330634994,330634668,"(-75.5841853, 6.167614)","(-75.5837718, 6.1682303)",49.23417812644334
330634994,330634993,"(-75.5841853, 6.167614)","(-75.5836693, 6.1672968)",58.26919434306517
330634995,1378816116,"(-75.5847356, 6.1679271)","(-75.5851638, 6.1672564)",51.305363338676976
330634995,5529679702,"(-75.5847356, 6.1679271)","(-75.5844815, 6.1677666)",28.712484940027526
330634997,330634666,"(-75.5852669, 6.1682833)","(-75.5848597, 6.1689187)",48.764891060945054
330634997,330634995,"(-75.5852669, 6.1682833)","(-75.5847356, 6.1679271)",60.12685416972945
330634999,1378816115,"(-75.5866253, 6.169138)","(-75.5862068, 6.1697818)",50.02515992850881
330634999,9292687813,"(-75.5866253, 6.169138)","(-75.5862932, 6.1689304)",37.51680995672949
330635000,330634999,"(-75.5873415, 6.1695989)","(-75.5866253, 6.169138)",80.96513234503333
330635000,1194445107,"(-75.5873415, 6.1695989)","(-75.5877989, 6.1688936)",54.69100879226957
330636754,8670491988,"(-75.5833447, 6.1836363)","(-75.5832952, 6.183291)",11.076829390512618
330636756,3576471371,"(-75.5829131, 6.1827578)","(-75.5818733, 6.1819042)",118.46843668735877
330636767,4404924412,"(-75.581345, 6.1798063)","(-75.5812151, 6.1792813)",20.57584718128195
330636767,569680295,"(-75.581345, 6.1798063)","(-75.5822539, 6.1780301)",112.83773922274491
330636775,2946094166,"(-75.5805084, 6.176244)","(-75.5800592, 6.1763708)",50.26533061824601
330636775,3270574368,"(-75.5805084, 6.176244)","(-75.5806486, 6.1758234)",19.53740806256561
330636776,3270600590,"(-75.580728, 6.1755843)","(-75.5808638, 6.1752145)",18.317386472184342
330636776,3270600589,"(-75.580728, 6.1755843)","(-75.5808965, 6.1755272)",18.875546089257405
330636777,569680287,"(-75.5810018, 6.1748765)","(-75.581417, 6.1747472)",46.48553900689064
330636777,330636779,"(-75.5810018, 6.1748765)","(-75.5811775, 6.1743382)",24.671865541410387
330636779,569680271,"(-75.5811775, 6.1743382)","(-75.5812634, 6.1743092)",9.62235140751268
330636779,330642288,"(-75.5811775, 6.1743382)","(-75.5810148, 6.1737261)",24.890441747662763
330636782,2946094145,"(-75.5803502, 6.1719422)","(-75.5800583, 6.1720438)",32.70531229242895
330636782,9259246569,"(-75.5803502, 6.1719422)","(-75.5804166, 6.1712265)",21.237782418947315
330636786,330636787,"(-75.5808795, 6.169846)","(-75.580758, 6.1692801)",20.774206757078012
330636787,1378851426,"(-75.580758, 6.1692801)","(-75.5806517, 6.1688226)",17.396667700447782
330636787,1378851452,"(-75.580758, 6.1692801)","(-75.5818651, 6.168945)",123.92973252278675
330636789,330631201,"(-75.5811782, 6.1665807)","(-75.5816135, 6.1659054)",52.09207136299667
330636789,1378816113,"(-75.5811782, 6.1665807)","(-75.5816875, 6.1669181)",57.619044720595475
330642287,569680248,"(-75.5845051, 6.1722876)","(-75.584354, 6.1719137)",19.81224402291007
330642287,330647593,"(-75.5845051, 6.1722876)","(-75.585175, 6.1720054)",75.18735073807436
330642288,9375469085,"(-75.5810148, 6.1737261)","(-75.5817245, 6.1734388)",79.62134980183288
330642288,330642825,"(-75.5810148, 6.1737261)","(-75.5808432, 6.1733056)",22.44165450393315
330642391,330642580,"(-75.5855418, 6.1734969)","(-75.5854789, 6.1739915)",15.438210151734783
330642391,1656651159,"(-75.5855418, 6.1734969)","(-75.5857379, 6.1735168)",21.89646439681587
330642580,569680254,"(-75.5854789, 6.1739915)","(-75.58522, 6.1740849)",29.015866467074876
330642580,330644600,"(-75.5854789, 6.1739915)","(-75.5852529, 6.1747363)",32.635675568531674
330642825,330642883,"(-75.5808432, 6.1733056)","(-75.580663, 6.1728514)",23.751258011159315
330642881,330647482,"(-75.5841805, 6.1714525)","(-75.5848185, 6.1712081)",71.53951820278435
330642881,569680245,"(-75.5841805, 6.1714525)","(-75.5835346, 6.1717068)",72.44377744090494
330642881,569680236,"(-75.5841805, 6.1714525)","(-75.584015, 6.1710296)",21.897769414493737
330642883,330644125,"(-75.580663, 6.1728514)","(-75.5804899, 6.1724166)",22.79330338938938
330642883,569680262,"(-75.580663, 6.1728514)","(-75.581411, 6.1725555)",83.89920235443063
330643732,5534298700,"(-75.5848359, 6.1731008)","(-75.5841995, 6.1733161)",71.28925130884
330643732,569680247,"(-75.5848359, 6.1731008)","(-75.5846761, 6.1726969)",21.077377752864308
330644124,9397375449,"(-75.5846349, 6.1707927)","(-75.5846799, 6.1708831)",5.616695627657144
330644124,9397375445,"(-75.5846349, 6.1707927)","(-75.5846714, 6.1707284)",4.449169808950919
330644125,569680263,"(-75.5804899, 6.1724166)","(-75.5812415, 6.1721244)",84.2891485122316
330644125,330636782,"(-75.5804899, 6.1724166)","(-75.5803502, 6.1719422)",20.425591412716948
330644597,330642391,"(-75.5855413, 6.1727599)","(-75.5855418, 6.1734969)",20.487687147339575
330644600,5534298701,"(-75.5852529, 6.1747363)","(-75.5847384, 6.1748509)",57.51886477954852
330644600,3270824321,"(-75.5852529, 6.1747363)","(-75.5851856, 6.1753198)",17.87599809836551
330644603,5927555377,"(-75.5852779, 6.1765137)","(-75.5853096, 6.1766142)",4.508463403686198
330644603,9395455240,"(-75.5852779, 6.1765137)","(-75.5853433, 6.1765051)",7.304126005466633
330645151,1656651165,"(-75.5852458, 6.1752995)","(-75.5853235, 6.1747554)",17.435749386661577
330645156,330634176,"(-75.5875208, 6.1706279)","(-75.5882477, 6.171116)",82.26585191757424
330646990,327431102,"(-75.5861291, 6.1728839)","(-75.5867635, 6.1733128)",71.81087520309045
330646990,340690124,"(-75.5861291, 6.1728839)","(-75.5866946, 6.1719765)",67.97620359941558
330647482,330642881,"(-75.5848185, 6.1712081)","(-75.5841805, 6.1714525)",71.53951820278435
330647482,330647483,"(-75.5848185, 6.1712081)","(-75.5850108, 6.1716573)",24.833477174394783
330647483,569680248,"(-75.5850108, 6.1716573)","(-75.584354, 6.1719137)",73.66036063466908
330647483,330647593,"(-75.5850108, 6.1716573)","(-75.585175, 6.1720054)",20.72642103485621
330647593,330648673,"(-75.585175, 6.1720054)","(-75.5853144, 6.1723064)",17.66753867524406
330648332,330644597,"(-75.5855885, 6.1724773)","(-75.5855413, 6.1727599)",9.459054230064245
330648332,330646990,"(-75.5855885, 6.1724773)","(-75.5861291, 6.1728839)",61.39335779904532
330648673,330648332,"(-75.5853144, 6.1723064)","(-75.5855885, 6.1724773)",30.962795661090848
330648673,569680246,"(-75.5853144, 6.1723064)","(-75.5853914, 6.1724585)",9.578770113378726
330648889,1825621048,"(-75.5884574, 6.1743363)","(-75.5887083, 6.1739519)",29.975026330303937
330648889,330648893,"(-75.5884574, 6.1743363)","(-75.5883123, 6.1754486)",34.90038169440229
330648893,330648889,"(-75.5883123, 6.1754486)","(-75.5884574, 6.1743363)",34.90038169440229
330648893,340691002,"(-75.5883123, 6.1754486)","(-75.5882104, 6.1758557)",16.043769234648238
330648893,3270683204,"(-75.5883123, 6.1754486)","(-75.5884966, 6.1752939)",21.01682447629298
330648895,1430555110,"(-75.588441, 6.1767271)","(-75.5885555, 6.1768319)",13.108651831322693
330648895,340691002,"(-75.588441, 6.1767271)","(-75.5882104, 6.1758557)",35.3432064404611
330648895,1430593908,"(-75.588441, 6.1767271)","(-75.5878758, 6.1773941)",65.75721447438704
330648896,1430593917,"(-75.5895765, 6.1775492)","(-75.5888814, 6.1785366)",82.29963293225464
330648896,1430586232,"(-75.5895765, 6.1775492)","(-75.5888622, 6.1770485)",80.93824838163671
330649093,6822287683,"(-75.5852144, 6.1809908)","(-75.5852448, 6.1814912)",14.318650085478767
330649093,1673517664,"(-75.5852144, 6.1809908)","(-75.5829074, 6.1807729)",257.5878845325804
330649093,569133128,"(-75.5852144, 6.1809908)","(-75.584788, 6.1796985)",59.632786030804205
330762602,330762611,"(-75.60185, 6.1637179)","(-75.5996744, 6.1628563)",244.02541445917956
330762602,5524117835,"(-75.60185, 6.1637179)","(-75.5995299, 6.1660731)",267.1103913508622
330762609,3501089943,"(-75.5975863, 6.1621588)","(-75.5976939, 6.1622422)",12.232110927134523
330762609,4404725421,"(-75.5975863, 6.1621588)","(-75.5974433, 6.1620903)",16.075250912550786
330762609,4404725424,"(-75.5975863, 6.1621588)","(-75.5974528, 6.1622416)",15.078253829827796
330762611,330762634,"(-75.5996744, 6.1628563)","(-75.5985314, 6.16329)",128.15374999324283
330762611,4404289842,"(-75.5996744, 6.1628563)","(-75.5979382, 6.162324)",194.36495218359093
330762611,330762602,"(-75.5996744, 6.1628563)","(-75.60185, 6.1637179)",244.02541445917956
330762611,330762636,"(-75.5996744, 6.1628563)","(-75.6010226, 6.1620846)",152.00997739382032
